시도명,시군구명,생년,RFID구분,축종,품종,마릿수,맹견여부
경기도,이천시,2015,외장형,개,기타,2,N
경기도,이천시,2015,인식표,개,기타,1,N
경기도,이천시,2015,내장형,개,기타,2,N
경기도,이천시,2015,외장형,개,닥스훈트,2,N
경기도,이천시,2015,인식표,개,닥스훈트,1,N
경기도,이천시,2015,내장형,개,닥스훈트,19,N
경기도,이천시,2015,인식표,개,도베르만,1,N
경기도,이천시,2015,내장형,개,도베르만,1,N
경기도,이천시,2015,외장형,개,도사,1,Y
경기도,이천시,2015,외장형,개,라브라도 리트리버,5,N
경기도,이천시,2015,인식표,개,라브라도 리트리버,4,N
경기도,이천시,2015,내장형,개,라브라도 리트리버,14,N
경기도,이천시,2015,인식표,개,라이카,2,N
경기도,이천시,2015,내장형,개,라이카,1,N
경기도,이천시,2015,내장형,개,마리노이즈,2,N
경기도,이천시,2015,외장형,개,말라뮤트,1,N
경기도,이천시,2015,내장형,개,말라뮤트,2,N
경기도,이천시,2015,외장형,개,말티즈,63,N
경기도,이천시,2006,내장형,개,코카 스파니엘,1,N
경기도,이천시,2006,외장형,개,토이 푸들,1,N
경기도,이천시,2006,내장형,개,토이 푸들,1,N
경기도,이천시,2006,외장형,개,퍼그,1,N
경기도,이천시,2006,외장형,개,페키니즈,2,N
경기도,이천시,2006,내장형,개,페키니즈,2,N
경기도,이천시,2006,외장형,개,포메라니안,1,N
경기도,이천시,2006,내장형,개,포메라니안,2,N
경기도,이천시,2006,외장형,개,푸들,4,N
경기도,이천시,2006,인식표,개,푸들,1,N
경기도,이천시,2006,내장형,개,푸들,8,N
경기도,이천시,2006,인식표,개,화이트테리어,1,N
경기도,이천시,2007,외장형,개,골든 리트리버,1,N
경기도,이천시,2007,내장형,개,골든 리트리버,1,N
경기도,이천시,2007,내장형,개,기타,3,N
경기도,이천시,2007,외장형,개,닥스훈트,2,N
경기도,이천시,2007,내장형,개,라브라도 리트리버,1,N
경기도,이천시,2007,외장형,개,말티즈,32,N
경기도,이천시,2007,인식표,개,말티즈,5,N
경기도,이천시,2007,내장형,개,말티즈,19,N
경기도,이천시,2007,외장형,개,미니어쳐 핀셔,1,N
경기도,이천시,2007,내장형,개,미니어쳐 핀셔,1,N
경기도,이천시,2007,외장형,개,믹스견,14,N
경기도,의정부시,2018,외장형,개,미니어쳐 푸들,8,N
경기도,의정부시,2018,내장형,개,미니어쳐 푸들,8,N
경기도,의정부시,2018,외장형,개,미니어쳐 핀셔,2,N
경기도,의정부시,2018,인식표,개,미니어쳐 핀셔,1,N
경기도,의정부시,2018,내장형,개,미니어쳐 핀셔,3,N
경기도,의정부시,2018,외장형,개,미디엄 푸들,3,N
경기도,의정부시,2018,인식표,개,미디엄 푸들,1,N
경기도,의정부시,2018,외장형,개,믹스견,85,N
경기도,의정부시,2018,인식표,개,믹스견,48,N
경기도,의정부시,2018,내장형,개,믹스견,143,N
경기도,의정부시,2018,인식표,개,베들링턴 테리어,2,N
경기도,의정부시,2018,내장형,개,베들링턴 테리어,2,N
경기도,의정부시,2018,외장형,개,보더 콜리,1,N
경기도,의정부시,2018,인식표,개,보더 콜리,1,N
경기도,의정부시,2018,내장형,개,보더 콜리,7,N
경기도,의정부시,2018,외장형,개,보스턴 테리어,8,N
경기도,이천시,2007,외장형,개,요크셔 테리어,7,N
경기도,이천시,2007,인식표,개,요크셔 테리어,1,N
경기도,이천시,2007,내장형,개,요크셔 테리어,4,N
경기도,이천시,2007,외장형,개,웰시 코기 펨브로크,1,N
경기도,이천시,2007,내장형,개,저먼 셰퍼드 독,1,N
경기도,이천시,2007,내장형,개,제페니즈칭,1,N
경기도,이천시,2007,외장형,개,진도견,3,N
경기도,이천시,2007,인식표,개,진도견,1,N
경기도,이천시,2007,내장형,개,진도견,1,N
경기도,이천시,2007,내장형,개,차우차우,1,N
경기도,이천시,2007,외장형,개,치와와,3,N
경기도,이천시,2007,내장형,개,치와와,2,N
경기도,이천시,2007,내장형,개,카네 코르소,1,N
경기도,이천시,2007,외장형,개,코카 스파니엘,3,N
경기도,이천시,2007,내장형,개,토이 푸들,1,N
경기도,이천시,2007,인식표,개,페키니즈,1,N
경기도,이천시,2007,외장형,개,포메라니안,7,N
경기도,이천시,2007,내장형,개,포메라니안,3,N
경기도,이천시,2007,외장형,개,푸들,12,N
경기도,이천시,2007,인식표,개,푸들,3,N
경기도,이천시,2007,내장형,개,푸들,8,N
경기도,이천시,2007,내장형,개,프렌치 불독,1,N
경기도,이천시,2008,외장형,개,기타,2,N
경기도,이천시,2008,외장형,개,닥스훈트,4,N
경기도,이천시,2008,내장형,개,닥스훈트,1,N
경기도,이천시,2008,외장형,개,라브라도 리트리버,1,N
경기도,이천시,2008,내장형,개,라브라도 리트리버,1,N
경기도,이천시,2008,외장형,개,말티즈,47,N
경기도,이천시,2008,인식표,개,말티즈,6,N
경기도,이천시,2008,내장형,개,말티즈,29,N
경기도,이천시,2008,내장형,개,미니어쳐 슈나우저,1,N
경기도,이천시,2008,외장형,개,믹스견,19,N
경기도,이천시,2008,인식표,개,믹스견,2,N
경기도,이천시,2008,내장형,개,믹스견,11,N
경기도,이천시,2008,외장형,개,보더 콜리,1,N
경기도,이천시,2008,인식표,개,보스턴 테리어,1,N
경기도,이천시,2008,내장형,개,보스턴 테리어,1,N
경기도,이천시,2008,인식표,개,불 테리어,1,N
경기도,이천시,2008,내장형,개,불독,1,N
경기도,이천시,2008,외장형,개,브리타니 스파니엘,1,N
경기도,이천시,2008,외장형,개,삽살개,4,N
경기도,이천시,2008,인식표,개,삽살개,1,N
경기도,이천시,2008,인식표,개,셰퍼드,1,N
경기도,이천시,2008,외장형,개,슈나우져,2,N
경기도,이천시,2008,내장형,개,슈나우져,1,N
경기도,이천시,2008,내장형,개,스피츠,1,N
경기도,이천시,2008,내장형,개,시베리안 허스키,2,N
경기도,이천시,2008,외장형,개,시베리안라이카,1,N
경기도,이천시,2008,외장형,개,시츄,15,N
경기도,이천시,2008,인식표,개,시츄,1,N
경기도,이천시,2008,내장형,개,시츄,11,N
경기도,이천시,2008,내장형,개,아이리쉬 레드 앤 화이트 세터,1,N
경기도,이천시,2013,내장형,개,오스트랄리안 셰퍼드 독,1,N
경기도,이천시,2013,외장형,개,올드 잉글리쉬 쉽독,1,N
경기도,이천시,2013,외장형,개,와이어 폭스 테리어,1,N
경기도,이천시,2013,외장형,개,요크셔 테리어,22,N
경기도,이천시,2013,인식표,개,요크셔 테리어,4,N
경기도,이천시,2013,내장형,개,요크셔 테리어,17,N
경기도,이천시,2013,내장형,개,울프독,1,N
경기도,이천시,2013,외장형,개,웰시 코기 펨브로크,1,N
경기도,이천시,2013,내장형,개,웰시 코기 펨브로크,4,N
경기도,이천시,2013,내장형,개,이탈리안 그레이 하운드,1,N
경기도,이천시,2013,외장형,개,재패니즈 스피츠,1,N
경기도,이천시,2013,내장형,개,재패니즈 스피츠,1,N
경기도,이천시,2013,내장형,개,잭 러셀 테리어,1,N
경기도,이천시,2013,내장형,개,저먼 셰퍼드 독,5,N
경기도,이천시,2013,외장형,개,진도견,26,N
경기도,이천시,2013,인식표,개,진도견,3,N
경기도,이천시,2013,내장형,개,진도견,17,N
경기도,이천시,2013,외장형,개,차우차우,2,N
경기도,이천시,2013,인식표,개,차우차우,1,N
경기도,이천시,2013,외장형,개,치와와,5,N
경기도,이천시,2013,내장형,개,치와와,11,N
경기도,이천시,2013,내장형,개,카네 코르소,3,N
경기도,이천시,2013,외장형,개,카레리안 베어독,1,N
경기도,이천시,2013,외장형,개,코카 스파니엘,4,N
경기도,이천시,2013,인식표,개,코카 스파니엘,1,N
경기도,이천시,2013,내장형,개,코카 스파니엘,4,N
경기도,이천시,2013,외장형,개,콜리,1,N
경기도,이천시,2013,외장형,개,토이 푸들,5,N
경기도,이천시,2013,인식표,개,토이 푸들,1,N
경기도,이천시,2013,내장형,개,퍼그,3,N
경기도,이천시,2013,인식표,개,페키니즈,2,N
경기도,이천시,2013,내장형,개,페키니즈,3,N
경기도,이천시,2013,외장형,개,포메라니안,21,N
경기도,이천시,2013,인식표,개,포메라니안,1,N
경기도,이천시,2013,내장형,개,포메라니안,35,N
경기도,이천시,2013,인식표,개,포인터,1,N
경기도,이천시,2013,내장형,개,포인터,1,N
경기도,이천시,2013,외장형,개,푸들,48,N
경기도,이천시,2013,인식표,개,푸들,5,N
경기도,이천시,2013,내장형,개,푸들,70,N
경기도,이천시,2013,외장형,개,풍산견,5,N
경기도,이천시,2013,내장형,개,풍산견,2,N
경기도,이천시,2013,내장형,개,프렌치 불독,4,N
경기도,이천시,2013,외장형,개,핏불테리어,1,Y
경기도,이천시,2013,내장형,개,핏불테리어,1,Y
경기도,이천시,2013,외장형,개,화이트테리어,1,N
경기도,이천시,2013,내장형,개,화이트테리어,1,N
경기도,이천시,2013,내장형,고양이,페르시안-페르시안 친칠라,1,N
경기도,이천시,2014,외장형,개,골든 리트리버,4,N
경기도,이천시,2014,인식표,개,골든 리트리버,4,N
경기도,이천시,2014,내장형,개,골든 리트리버,5,N
경기도,의정부시,2012,외장형,개,포메라니안,59,N
경기도,의정부시,2012,인식표,개,포메라니안,8,N
경기도,의정부시,2012,내장형,개,포메라니안,50,N
경기도,의정부시,2012,내장형,개,포인터,1,N
경기도,의정부시,2012,외장형,개,폭스테리어,1,N
경기도,의정부시,2012,외장형,개,푸들,161,N
경기도,의정부시,2012,인식표,개,푸들,30,N
경기도,의정부시,2012,내장형,개,푸들,98,N
경기도,의정부시,2012,외장형,개,풍산견,1,N
경기도,의정부시,2012,내장형,개,풍산견,1,N
경기도,의정부시,2012,외장형,개,프렌치 불독,2,N
경기도,의정부시,2012,인식표,개,프렌치 불독,2,N
경기도,의정부시,2012,내장형,개,프렌치 불독,2,N
경기도,의정부시,2012,내장형,개,핏불테리어,1,Y
경기도,의정부시,2012,내장형,고양이,아메리칸 쇼트헤어,1,N
경기도,의정부시,2012,내장형,고양이,한국 고양이,2,N
경기도,의정부시,2013,외장형,개,골든 리트리버,6,N
경기도,의정부시,2013,내장형,개,골든 리트리버,3,N
경기도,의정부시,2013,내장형,개,그레이트 피레니즈,1,N
경기도,의정부시,2013,외장형,개,기타,3,N
경기도,의정부시,2013,인식표,개,기타,2,N
경기도,의정부시,2013,내장형,개,기타,2,N
경기도,의정부시,2013,외장형,개,닥스훈트,33,N
경기도,의정부시,2013,인식표,개,닥스훈트,5,N
경기도,의정부시,2013,내장형,개,닥스훈트,18,N
경기도,의정부시,2013,외장형,개,도베르만,2,N
경기도,의정부시,2013,내장형,개,도베르만,1,N
경기도,의정부시,2013,외장형,개,라브라도 리트리버,10,N
경기도,의정부시,2013,인식표,개,라브라도 리트리버,1,N
경기도,의정부시,2013,내장형,개,라브라도 리트리버,5,N
경기도,의정부시,2013,외장형,개,라사 압소,1,N
경기도,의정부시,2013,외장형,개,라이카,1,N
경기도,의정부시,2013,외장형,개,말라뮤트,1,N
경기도,의정부시,2013,외장형,개,말티즈,293,N
경기도,의정부시,2013,인식표,개,말티즈,62,N
경기도,의정부시,2013,내장형,개,말티즈,160,N
경기도,의정부시,2013,인식표,개,미니어쳐 닥스훈트,1,N
경기도,의정부시,2013,외장형,개,미니어쳐 슈나우저,3,N
경기도,의정부시,2013,내장형,개,미니어쳐 슈나우저,2,N
경기도,의정부시,2013,외장형,개,미니어쳐 푸들,9,N
경기도,의정부시,2013,인식표,개,미니어쳐 푸들,3,N
경기도,의정부시,2013,내장형,개,미니어쳐 푸들,3,N
경기도,의정부시,2013,외장형,개,미니어쳐 핀셔,6,N
경기도,의정부시,2013,인식표,개,미니어쳐 핀셔,3,N
경기도,의정부시,2013,내장형,개,미니어쳐 핀셔,9,N
경기도,의정부시,2013,외장형,개,미디엄 푸들,3,N
경기도,의정부시,2013,인식표,개,미디엄 푸들,1,N
경기도,의정부시,2013,내장형,개,미디엄 푸들,2,N
경기도,의정부시,2013,외장형,개,믹스견,87,N
경기도,의정부시,2013,인식표,개,믹스견,22,N
경기도,의정부시,2013,내장형,개,믹스견,89,N
경기도,의정부시,2018,인식표,개,보스턴 테리어,3,N
경기도,의정부시,2018,내장형,개,보스턴 테리어,9,N
경기도,의정부시,2018,외장형,개,비글,2,N
경기도,의정부시,2018,인식표,개,비글,1,N
경기도,의정부시,2018,내장형,개,비글,2,N
경기도,의정부시,2018,외장형,개,비숑 프리제,60,N
경기도,의정부시,2018,인식표,개,비숑 프리제,17,N
경기도,의정부시,2018,내장형,개,비숑 프리제,108,N
경기도,의정부시,2018,외장형,개,빠삐용,3,N
경기도,의정부시,2018,인식표,개,빠삐용,1,N
경기도,의정부시,2018,내장형,개,빠삐용,7,N
경기도,의정부시,2018,내장형,개,사모예드,1,N
경기도,의정부시,2018,외장형,개,삽살개,1,N
경기도,의정부시,2018,내장형,개,삽살개,3,N
경기도,의정부시,2018,외장형,개,샤페이,2,N
경기도,의정부시,2018,내장형,개,샤페이,4,N
경기도,의정부시,2018,내장형,개,셔틀랜드 쉽독,3,N
경기도,의정부시,2018,외장형,개,슈나우져,3,N
경기도,의정부시,2018,인식표,개,슈나우져,2,N
경기도,의정부시,2018,내장형,개,슈나우져,5,N
경기도,의정부시,2018,외장형,개,스탠다드 푸들,1,N
경기도,의정부시,2018,인식표,개,스탠다드 푸들,1,N
경기도,의정부시,2018,내장형,개,스탠다드 푸들,1,N
경기도,의정부시,2018,외장형,개,스피츠,11,N
경기도,의정부시,2018,인식표,개,스피츠,4,N
경기도,의정부시,2018,내장형,개,스피츠,29,N
경기도,의정부시,2018,외장형,개,시바,8,N
경기도,의정부시,2018,인식표,개,시바,4,N
경기도,의정부시,2018,내장형,개,시바,26,N
경기도,의정부시,2018,내장형,개,시베리안 허스키,6,N
경기도,의정부시,2018,외장형,개,시츄,14,N
경기도,의정부시,2018,인식표,개,시츄,8,N
경기도,의정부시,2018,내장형,개,시츄,29,N
경기도,의정부시,2018,내장형,개,실키테리어,2,N
경기도,의정부시,2018,내장형,개,아메리칸 불독,1,N
경기도,의정부시,2018,내장형,개,아메리칸 코카 스파니엘,1,N
경기도,의정부시,2018,인식표,개,아메리칸 핏불 테리어,1,Y
경기도,의정부시,2018,외장형,개,아메리칸불리,1,N
경기도,의정부시,2018,내장형,개,아메리칸불리,6,N
경기도,의정부시,2018,내장형,개,아키다,1,N
경기도,의정부시,2018,인식표,개,아프간 하운드,1,N
경기도,의정부시,2018,외장형,개,알라스칸 말라뮤트,1,N
경기도,의정부시,2018,외장형,개,올드 잉글리쉬 불독,1,N
경기도,의정부시,2018,내장형,개,올드 잉글리쉬 불독,1,N
경기도,의정부시,2018,외장형,개,올드 잉글리쉬 쉽독,2,N
경기도,의정부시,2018,외장형,개,요크셔 테리어,15,N
경기도,의정부시,2018,인식표,개,요크셔 테리어,7,N
경기도,의정부시,2018,내장형,개,요크셔 테리어,14,N
경기도,의정부시,2018,내장형,개,웨스트하이랜드화이트테리어,1,N
경기도,의정부시,2018,외장형,개,웰시 코기 카디건,2,N
경기도,의정부시,2018,인식표,개,웰시 코기 카디건,2,N
경기도,이천시,2008,내장형,개,알라스칸 말라뮤트,1,N
경기도,이천시,2008,외장형,개,요크셔 테리어,14,N
경기도,이천시,2008,인식표,개,요크셔 테리어,2,N
경기도,이천시,2008,내장형,개,요크셔 테리어,1,N
경기도,이천시,2008,내장형,개,웰시 코기 펨브로크,1,N
경기도,이천시,2008,내장형,개,잉글리쉬 코카 스파니엘,1,N
경기도,이천시,2008,외장형,개,진도견,2,N
경기도,이천시,2008,인식표,개,진도견,1,N
경기도,이천시,2008,내장형,개,진도견,1,N
경기도,이천시,2008,외장형,개,치와와,2,N
경기도,이천시,2008,내장형,개,치와와,1,N
경기도,이천시,2008,외장형,개,코카 스파니엘,2,N
경기도,이천시,2008,인식표,개,코카 스파니엘,1,N
경기도,이천시,2008,내장형,개,코카 스파니엘,1,N
경기도,이천시,2008,인식표,개,토이 푸들,1,N
경기도,이천시,2008,내장형,개,토이 푸들,1,N
경기도,이천시,2008,내장형,개,페키니즈,4,N
경기도,이천시,2008,외장형,개,포메라니안,3,N
경기도,이천시,2008,내장형,개,포메라니안,2,N
경기도,이천시,2008,내장형,개,포인터,1,N
경기도,이천시,2008,외장형,개,푸들,11,N
경기도,의정부시,2016,인식표,개,토이 푸들,9,N
경기도,의정부시,2016,내장형,개,토이 푸들,20,N
경기도,의정부시,2016,외장형,개,퍼그,3,N
경기도,의정부시,2016,인식표,개,퍼그,7,N
경기도,의정부시,2016,내장형,개,퍼그,5,N
경기도,의정부시,2016,외장형,개,페키니즈,5,N
경기도,의정부시,2016,내장형,개,페키니즈,4,N
경기도,의정부시,2016,인식표,개,페터데일테리어,1,N
경기도,의정부시,2016,외장형,개,포메라니안,94,N
경기도,의정부시,2016,인식표,개,포메라니안,42,N
경기도,의정부시,2016,내장형,개,포메라니안,155,N
경기도,이천시,2001,내장형,개,요크셔 테리어,1,N
경기도,이천시,2001,외장형,개,코카 스파니엘,2,N
경기도,이천시,2001,외장형,개,페키니즈,1,N
경기도,이천시,2001,내장형,개,페키니즈,2,N
경기도,이천시,2001,외장형,개,포메라니안,1,N
경기도,이천시,2001,외장형,개,푸들,2,N
경기도,이천시,2001,내장형,개,푸들,1,N
경기도,이천시,2002,외장형,개,골든 리트리버,1,N
경기도,이천시,2002,외장형,개,말티즈,11,N
경기도,이천시,2002,인식표,개,말티즈,1,N
경기도,이천시,2002,내장형,개,말티즈,3,N
경기도,이천시,2002,외장형,개,미니어쳐 핀셔,1,N
경기도,이천시,2002,내장형,개,미니어쳐 핀셔,1,N
경기도,이천시,2002,외장형,개,믹스견,9,N
경기도,이천시,2002,인식표,개,믹스견,2,N
경기도,이천시,2002,내장형,개,믹스견,4,N
경기도,이천시,2002,외장형,개,비글,1,N
경기도,이천시,2002,외장형,개,슈나우져,4,N
경기도,이천시,2002,외장형,개,시츄,14,N
경기도,이천시,2002,인식표,개,시츄,1,N
경기도,이천시,2002,내장형,개,시츄,2,N
경기도,이천시,2002,내장형,개,아메리칸 코카 스파니엘,2,N
경기도,이천시,2002,외장형,개,요크셔 테리어,8,N
경기도,이천시,2002,내장형,개,요크셔 테리어,4,N
경기도,이천시,2002,내장형,개,잉글리쉬 코카 스파니엘,1,N
경기도,이천시,2002,외장형,개,진도견,1,N
경기도,이천시,2002,외장형,개,치와와,1,N
경기도,이천시,2002,외장형,개,코카 스파니엘,1,N
경기도,이천시,2002,인식표,개,코카 스파니엘,1,N
경기도,이천시,2002,내장형,개,코카 스파니엘,2,N
경기도,이천시,2002,외장형,개,페키니즈,3,N
경기도,이천시,2002,외장형,개,포메라니안,1,N
경기도,이천시,2002,내장형,개,포메라니안,1,N
경기도,이천시,2002,외장형,개,푸들,2,N
경기도,이천시,2003,내장형,개,기타,1,N
경기도,이천시,2003,외장형,개,닥스훈트,1,N
경기도,이천시,2003,외장형,개,말티즈,12,N
경기도,이천시,2003,인식표,개,말티즈,2,N
경기도,이천시,2003,내장형,개,말티즈,8,N
경기도,이천시,2003,내장형,개,미니어쳐 슈나우저,2,N
경기도,이천시,2003,외장형,개,미니어쳐 핀셔,2,N
경기도,이천시,2003,내장형,개,미니어쳐 핀셔,3,N
경기도,이천시,2003,외장형,개,믹스견,5,N
경기도,이천시,2003,내장형,개,믹스견,3,N
경기도,이천시,2003,인식표,개,보더 콜리,1,N
경기도,이천시,2003,내장형,개,비글,1,N
경기도,이천시,2003,외장형,개,슈나우져,4,N
경기도,이천시,2003,내장형,개,슈나우져,1,N
경기도,이천시,2003,외장형,개,스피츠,1,N
경기도,이천시,2003,외장형,개,시츄,16,N
경기도,이천시,2003,인식표,개,시츄,1,N
경기도,이천시,2003,내장형,개,시츄,2,N
경기도,이천시,2013,외장형,개,말티즈,75,N
경기도,이천시,2013,인식표,개,말티즈,11,N
경기도,이천시,2013,내장형,개,말티즈,96,N
경기도,이천시,2013,내장형,개,미니어쳐 슈나우저,1,N
경기도,이천시,2013,외장형,개,미니어쳐 푸들,4,N
경기도,이천시,2013,외장형,개,미니어쳐 핀셔,1,N
경기도,이천시,2013,내장형,개,미니어쳐 핀셔,2,N
경기도,이천시,2013,외장형,개,믹스견,48,N
경기도,이천시,2013,인식표,개,믹스견,17,N
경기도,이천시,2013,내장형,개,믹스견,56,N
경기도,이천시,2013,내장형,개,바센지,1,N
경기도,이천시,2013,외장형,개,베들링턴 테리어,1,N
경기도,이천시,2013,외장형,개,보더 콜리,2,N
경기도,이천시,2013,내장형,개,보더 콜리,1,N
경기도,이천시,2013,내장형,개,보스턴 테리어,2,N
경기도,이천시,2013,내장형,개,불 테리어,1,N
